Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:10,"Dobrodošli na podcast SubClub, emisiju posvećenu najboljim praksama za izgradnju i rast aplikacijskih tvrtki."
0:00:10,0:00:20,"Sjednemo s poduzetnicima, investitorima i graditeljima koji stoje iza najuspješnijih aplikacija na svijetu kako bismo naučili iz njihovih uspjeha i neuspjeha."
0:00:20,0:00:22,SubClub vam donosi RevenueCat.
0:00:23,0:00:33,"Tisuće najboljih aplikacija na svijetu vjeruju RevenueCatu da omogući kupnju aplikacija, upravljanje klijentima i povećanje prihoda na iOS-u, Androidu i webu."
0:00:34,0:00:36,Više informacija možete pronaći na revenuecat.com.
0:00:37,0:00:38,Uđimo u emisiju.
0:00:41,0:00:47,"Pozdrav, ja sam vaš voditelj, David Bernard, a danas sam sa mnom Jacob Biding, izvršni direktor RevenueCat-a."
0:00:47,0:01:00,"Naš današnji gost je Emmanuel Crovicier, osnivač aplikacije Cardpointers, koja omogućava jednostavno optimizaciju nagrada kreditnih kartica i uštedu korisnicima od više od dvjesto milijuna dolara."
0:01:00,0:01:06,Emmanuel je Cardpointers pretvorio u punopostavni posao u manje od godinu dana.
0:01:06,0:01:11,Na podcastu razgovaramo s Emmanuelom o čaroliji partnerskog marketinga.
0:01:12,0:01:14,Kako najbolje iskoristiti Stripe plaćanja.
0:01:15,0:01:20,I zašto biste vjerojatno trebali izraditi web aplikaciju prije nego što izradite izvornu.
0:01:20,0:01:22,"Da, htjela sam započeti."
0:01:22,0:01:24,Izradili ste Cardpointers.
0:01:25,0:01:26,To je aplikacija za kreditne kartice.
0:01:26,0:01:29,Govorila sam o tome u uvodnom dijelu.
0:01:29,0:01:35,Ali prvo bih htjela čuti vaš pozadinski uvid u aplikacije i što vas je inspiriralo da izradite Cardpointers.
0:01:35,0:01:39,"I naravno, to je nevjerojatna priča o tome kako ste izgradili tvrtku tijekom vremena."
0:01:40,0:01:43,Ali kako ste se uopće inspirirali da je izradite?
0:01:43,0:01:43,Hvala.
0:01:43,0:01:43,Da.
0:01:44,0:01:49,Moja povijest s aplikacijama za iOS datira još do prve izdaje SDK-a.
0:01:50,0:01:52,"Dakle, malo sam se igrao s iOS-om."
0:01:52,0:01:59,"tijekom godina, a posebno s karticama, to je nastalo zbog vlastite potrebe."
0:02:00,0:02:05,"Sve više putovao sam i zapravo sam trebao vrlo jeftinu ili štedljivu, kako god želite reći."
0:02:06,0:02:10,I htio sam ne plaćati letove ili ih kupiti što jeftinije moguće.
0:02:10,0:02:20,"I tako sam se zapravo uključio u cijeli svijet nagrada kreditnih kartica, što je zapravo fascinantan hobi i svijet sam po sebi."
0:02:20,0:02:29,"Ali čak i samo lagano u to ulazim, to je stvarno jednostavan način da dobijete letove zapravo besplatno ili samo za nekoliko dolara poreza, samo uz neke bonuse za registraciju kreditne kartice."
0:02:29,0:02:32,Budući da sam imao bonuse za registraciju kreditnih kartica i upotrebu prave kreditne kartice.
0:02:32,0:02:32,Tako je sve krenulo.
0:02:33,0:02:45,"Želio sam bolje optimizirati vrijeme upotrebe kartica, pratiti sve i pomoći roditeljima koji su me zvali gotovo svakih nekoliko dana pitajući me koju karticu trebaju upotrebljavati za kupnju goriva, koju za kupnju u supermarketu."
0:02:45,0:02:52,I tako sam se malo previše potrudio i izradio cijelu ovu aplikaciju kako bi im pomogla.
0:02:52,0:02:54,I od tada je to sigurno raslo.
0:02:54,0:02:55,Lijepo.
0:02:55,0:02:59,I tako ste imali iskustva s radom na iOS-u četrnaest godina.
0:02:59,0:03:06,"Mislim, od kada su se aplikacije pokrenule, onda ste se malo poigravali s SDK-om, a zatim ste imali iskustva s pretplatama na početku."
0:03:06,0:03:08,Rano u dane IOS-a 5?
0:03:09,0:03:09,"Da, baš tako."
0:03:09,0:03:11,Radila sam za medijsku industriju.
0:03:12,0:03:14,Radila sam za nekoliko izdavačkih kuća za časopise.
0:03:16,0:03:20,"U to sam vrijeme bila zaposlena u Sandow Media, koja posjeduje nekoliko publikacija."
0:03:21,0:03:25,"A Newston je upravo izašao 2011., mislim, s IOS-om 5."
0:03:26,0:03:30,I mislim da je to bio prvi Appleov pretplatni proizvod.
0:03:30,0:03:31,Da.
0:03:31,0:03:33,"I tako, da, potpuno."
0:03:33,0:03:35,"Vrlo, vrlo drugačije."
0:03:35,0:03:40,Definitivno bih željela da imam ograničenje prihoda u to vrijeme jer se ne radi o računima i svemu ostalom.
0:03:40,0:03:41,"Mislim, nije isto, zar ne?"
0:03:41,0:03:43,"Kao da je to bio Store Kit, zar ne?"
0:03:43,0:03:44,"Ali, to je komplet za ulazak, zar ne?"
0:03:44,0:03:45,Ja sam radio na tome.
