Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:06,"Poštovani gospodo, nadam se da ste se smjestili i da možemo odpočeti sa današnjim događanjima."
0:00:07,0:00:13,No na početku dopustite mi da najprije pozdravim naše cijenjene uzvanike.
0:00:14,0:00:21,"Poštovani posebni izaslanici predsjednika Vlade Republike Hrvatske, ministre financija Zdravku Mariću, dobro jutro želimo."
0:00:26,0:00:31,S nama je i guverner haenbea Boris Vujčić.
0:00:34,0:00:51,"Poštovani predstavnici tijela izvršne i zakonodavne vlasti, vaše ekscelencije, predstavnici Diplomatskog zbora u erha poštovana zastupnice u Europskom parlamentu iz redova Europske pučke stranke i hadezea Ivana Maletić."
0:00:55,0:01:16,"Poštovani govornici koji ćete nam se kasnije pridružiti na pozornici, dame i gospodo, dobro nam došli na konferenciju i to međunarodnu konferenciju u organizaciji Ureda Europskog parlamenta u Hrvatskoj i Hrvatske narodne banke, a pod nazivom gospodarski rast u EU, dobrobiti za Hrvatsku."
0:01:17,0:01:28,"Ova današnje događanje zamišljeno je na način da ćemo najprije čuti uvodna izlaganja, a nakon toga i dva vjerujem zanimljiva panela, pa vas pozivam da ostanete danas do kraja s nama."
0:01:29,0:01:37,No na početku uvodno će nam se obratiti ministar financija i posebni izaslanik predsjednika Vlade erha Zdravko Marić.
0:01:37,0:01:38,"Ministre, izvolite."
0:01:48,0:01:50,"Dobro jutro, lijepi pozdrav svima."
0:01:51,0:02:39,"Poštovana europska parlamentarka gospođa Ivana Maletić, poštovani guverner, gospodin Vujčić, poštovani predstavnici Europskog parlamenta, Europske komisije, diplomati, veleposlanici, svi predstavnici tijela izvršne zakonodavne vlasti u erha i svi nazočni, sve vas lijepo pozdravljam, prije svega u ime predsjednika Vlade gospodina Andreja Plenkovića i naravno u svoje osobno ime kao ministar financija, uvijek mi je lijepo i drago biti u ovoj akustički vrlo interesantnoj dvorani haenbea pa i samom sebi meni moj glas više ne izgleda tako piskutav kad sam ovdje, odmah imam nekako malo i ljepši dojam od toga."
0:02:41,0:02:57,Posebna zahvalnost i velika zahvala naravno na organizaciji ovoga skupa ide na Ured za informiranje Europskog parlamenta i sve one koji su zajedno sa haenbeom organizirali ovakav jedan hvalevrijedan skup.
0:02:58,0:03:51,"Ja moram odmah na početku reći kako to obično i biva u posljednjem tromjesečju ili evo ušli smo u posljednji mjesec godine, jako puno je događanja što je sigurno dobro jer svi smo sada već fokusirani ne toliko na završetak godine koliko na naše planove za iduću godinu, iduće tri godine pa u isto vrijeme na različitim lokacijama u Zagrebu i Hrvatskoj nekoliko skupova, tako da ja ću se morati odmah ispričati ovako u uvodnom dijelu govora što ću nakon svog govora morati napustiti ovaj skup obzirom da ima u isto vrijeme paralelno još jedan skup na kojem će govoriti i predsjednik Vlade, ja također u okviru određene rasprave o ne samo gospodarskom događaju ove godine nego poglavito perspektivama hrvatskog gospodarstva i svemu onome što mi kao Vlada planiramo i želimo učiniti u godini koja slijedi."
0:03:52,0:04:13,"Što se tiče današnje konferencije i sam radni naziv a i teme kao što je gospođa Čandrlić uvodno rekla, dakle imamo uz nas uvodne govornike i ja bih rekao i prema onima koji će sudjelovati ali i prema temama dva izuzetno zanimljiva i značajna panela."
0:04:13,0:04:34,"koji će se upravo doticati teme koja je u Hrvatskoj sigurno na visokoj, visokoj mjestu na ljestvici prioriteta, sve što je vezano uz gospodarski rast i zapošljavanje u Hrvatskoj sigurno da ne smije i nema nikakvu drugu poziciju nego zaista to je jedno visoko mjesto."
0:04:34,0:04:57,"Jer danas bilo da mi govorimo o demografskim izazovima, problemima, ali i općenito izazovima, bilo da govorimo o mirovinskom sustavu, zdravstvenom sustavu, našem društvu u cjelini ja bih rekao bez adekvatnih stopa gospodarskog rasta, zapošljavanja i svega što vezujemo uz to sigurno da ne možemo tražiti niti pronalaziti bilo kakva rješenja."
0:04:57,0:05:38,"Ali isto tako ono što mi je posebno drago proteklih tjedana, uslijed i brojnih objava makroekonomskih pokazatelja, pokazatelja javnih financija iz kojih je vidljiv apsolutni napredak Hrvatske, iz kojih je vidljiv sigurno napor i gospodarstva ali i izvršne vlasti u proteklom razdoblju otvorili su se i neke nove teme pa tako između ostalog jedna od izuzetno važnih tema za Hrvatsku, a to je općenito uz gospodarski rast i zapošljavanje zapravo plaće, životni standard i općenito boljitak svih naših građana."
