Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:12,0:00:14,Dobrodošli u podcast Mrežnica.
0:00:14,0:00:16,"Naš današnji gost, dr."
0:00:16,0:00:22,"Zlatko Hadžidedić, stručnjak za međunarodne odnose, političku teoriju i teoriju nacionalizma."
0:00:23,0:00:32,"Publicist, savjetnik nekoliko ministara, ali i političkih lidera, vodio je kampanje nekih stranaka, te je profesor na nekoliko privatnih sveučilišta u BiH."
0:00:33,0:00:37,U podcastu Mrežnica pozdravljam profesora Zlatka Hadžidedića.
0:00:37,0:00:40,"Kahađi Dediča, prije svega, profesore, lijep pozdrav, dobrodošli."
0:00:41,0:00:43,"Hvala vam, lijepo vas našao."
0:00:43,0:00:44,Hvala vam na pozivu.
0:00:45,0:00:52,"Profesore, samo ću reći, stručnjak za međunarodne odnose, političku teoriju, ali i teoriju nacionalizma."
0:00:52,0:01:01,"Publicist, savjetnik ste bili nekoliko ministara, ali i političkih lidera, vodili ste kampanje stranaka, profesor na nekoliko privatnih sveučilišta u BiH."
0:01:02,0:01:08,"Ali ono što je meni najviše zapravo zapelo za uho, kažu, avantgardan je."
0:01:08,0:01:11,"Onda mislim, moram doći do njega kad je avantgardan."
0:01:14,0:01:16,Ne vidimo koliko smo avantgarda.
0:01:17,0:01:17,Hajde da vidimo.
0:01:18,0:01:20,I možemo li mi preživjeti tu avantgardu?
0:01:21,0:01:22,I to također.
0:01:23,0:01:33,"Profesore, svijet ih čekuje veliki susret Donalda, Trumpa i kineskog predsjednika Čija koji bi se trebao odigrati ovaj tjedan."
0:01:35,0:01:36,Je li to Aljaska 2?
0:01:37,0:01:42,"Hoće li nakon toga svijet biti drugačiji, bolji, gori ili će sve ići po starome?"
0:01:42,0:01:43,Što vi mislite?
0:01:46,0:01:48,Evo mislim da je prije svega to.
0:01:48,0:02:08,"To je jedan pokušaj Donalda Trumpa da se iz čitave ove situacije u koju je sam sebe gurnuo pokuša izvući, ali da zapravo nastupa iz jedne krajnje nepovoljne pozicije i da će to Kinezi nastojati iskoristiti."
0:02:09,0:02:25,"To znači da će preslagivanje svjetskog poretka koje jeste u toku poprimiti neke malo organiziranije forme, ali da će tu Kina preuzeti inicijativu i da će ti Kina diktirati."
0:02:26,0:02:26,uslove.
0:02:27,0:02:50,"Ja mislim da prije svega je riječ o tome da svjetska trgovina koju je Trump počeo da razvaljuje sa svojim carinama koje je uvodio, da će se morati ponovo vraćati na nekakve stare oblike, bar je to ono što će Kinezi nastojati da ishode u svemu tome."
0:02:51,0:03:01,"Mislim da će prije svega insistirati na ukidanju carina ne samo Kini, nego generalno da Sjedinjene države odstupe od te politike."
0:03:02,0:03:05,Vidjet ćemo koliko će u tome uspjeti.
0:03:06,0:03:36,"Naravno, nastojat će u ovom tekućem sukobu da pokušaju da što povoljniju poziciju za Iran postignu jer normalno je Kina se snabdjeva naftom uglavnom iz Irana, možda čak 90% iz Irana i u interesu joj je da Iran okonča ovaj rat, ali da ga okonča također sa nekakvih pobjedničkih pozicija."
0:03:36,0:03:44,"Iran, naravno, te pozicije već u velikoj mjeri i ostvario, ali ovaj susret bi trebao da to verificira."
0:03:45,0:03:54,Ja mislim da prije svega to treba da u vezi sa ovim susretom bude rečeno.
0:03:55,0:03:58,Da li će biti još nekakvih spektakularnih promjena?
0:03:59,0:04:12,"Pa mislim da će Kina insistirati na multipolarnosti, na dokidanju američke hegemonije, odnosno pokušaja da se unipolarni poredak održi."
0:04:13,0:04:24,Mislim da je to već sada postalo u velikoj mjeri i nemoguće i absurdno insistirati na tome.
0:04:24,0:04:37,"Tako da mislim da Kina će jednostavno i taj korak morati da verificira, a ne da na neki način slama Sjedinjene države."
0:04:37,0:04:44,"Sjedinjene države ovaj put nastupaju zaista iz nekakvog donjeg položaja, tako da kažem."
