Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:05,0:00:08,Ovdje u Hrvatskoj molite da se zaustave pobačaj.
0:00:16,0:00:21,Možda se osjećate sami kada jedna ili samo dvije osobe mole ispred bolnice.
0:00:27,0:00:32,Ali zapravo molite zajedno sa tisućama i tisućama ljudi u puno zemalja na ovome svijetu.
0:00:40,0:00:46,Sad ću samo podijeliti nekoliko fantastičnih priča o spašenim bebama u gradovima po cijelome svijetu.
0:00:50,0:00:55,Imamo novog voditelja inicijative u Australiji koji se zove Brad Vergano.
0:01:02,0:01:14,"On je imao svoje dijete, ali dijete je nažalost živjelo samo 53 dana, a doktor je za vrijeme trudnoće rekao vi trebate imati pobačaj."
0:01:21,0:01:25,Kroz ovo svoje iskustvo je shvatio koliko je važna poruka pro-life.
0:01:30,0:01:36,Njegovo dijete Remi koje vidite ovdje na slici je bilo dijete vrijedno življenja.
0:01:45,0:01:52,Neki članovi njegove obitelji su imali osobno iskustvo obraćenja Bogu zbog rođenja ovog djeteta.
0:02:03,0:02:24,Oni i njegova žena su imali zapravo slomljeno srce jer im je dijete živjelo rođeno i živjelo je samo pedeset tri dana ali su vidjeli potpuni smisao u ovome iskustvu koji ih je dovelo zapravo bliže Bogu.
0:02:30,0:02:35,Nakon ovog iskustva imaju još jedno dijete koje su rodili nakon Remi.
0:02:50,0:03:01,"Bog može dotaknuti naša srca i kroz mnoga različita iskustva, pitanje je samo kako ćemo mi na to odgovoriti, čak i u nekim našim najtežim situacijama, on je s nama još bliže."
0:03:11,0:03:23,Sada je Brad jako gorljivi lider inicijative u Australiji i on zapravo sad jako dobro znači ubojstvo djeteta u utrobi i želi pomoći svima koji se na to odlučuju.
0:03:34,0:03:45,Ovo iskustvo mu je totalno pomoglo da vidi izbliza što to je i jako je odlučan da radi se na tome da abortusa više ne bude i da svima to kaže.
0:03:54,0:04:04,"Bez obzira na teškoće koje Bog, dragi, šalje ljudima, svi ljudi bi mogli iskoristiti to iskustvo na svoje dobro kao što je Brad napravio."
0:04:13,0:04:15,Idemo u ostatak svijeta.
0:04:15,0:04:19,U Jamajci ove godine je prvi put bila molitvena kampanja ove godine u ožujku.
0:04:23,0:04:26,"Pobačaj je ilegalan, nezakonit u Jamajci."
0:04:34,0:04:47,"Prvog dana bdjenja, jedan koji je bio za abortus je došao čak sa pištoljem pred molitelje, a ovo je lokalni vođa, dr."
0:04:47,0:04:54,"Daniel Thomas, posvetio je svoj život Bogu kad je imao dvanaest godina."
0:05:00,0:05:21,"Njegov otac radi u ministarstvu na prevenciji samoubojstava, njegovo je normalno okruženje doma bi bilo naprimjer za vrijeme večere njegov otac dobiva poziv od osobe koja se želi ubiti."
0:05:29,0:05:35,"U njihovoj crkvi ima šezdeset projekata koji su u tijeku, oni su baš strastveni u tome."
0:05:35,0:05:55,Ima više crkava u Jamajci po kvadratnom kilometru više nego bilo gdje u cijelom svijetu.
0:06:04,0:06:09,"Jako su cool, jako su laganini reggae i ostalo sve u Jamajci."
0:06:15,0:06:20,Ali svaki dan ima od 28 do 60 ilegalnih pobačaja usprko s tome što je ilegalan.
0:06:30,0:06:40,"To je bilo jako popraćeno u medijima u Jamajci, bili su na prvim stranicama svih tabloida i crkveni pastiri svi su došli na taj događaj."
0:06:41,0:06:49,I svećenik kaže da su prvog dana molitvene kampanje spasili šest života od pobačaja.
0:06:58,0:07:04,"Upravo nedavno su imali četiri zabave za doček male bebe, za četiri žene koje su rodile."
0:07:12,0:07:18,Ljudi jako imaju duboku vjeru u toj državi i evo to je jako lijepo i ohrabrujuće vidjeti.
0:07:23,0:07:26,Barbados je također zainteresiran da dođemo i njima.
0:07:31,0:08:13,"Ove godine u lipnju smo imali putovanje, misiju u Ugandi, također je ilegalan abortus u Ugandi, stanovništvo je jedanpet milijun u toj državi, a jedan milijun je katolika, jako religiozna država, ali i dalje jako je normalno i kao običaj za mnoge pobačaje i sa pilulom koji se čine."
0:08:19,0:08:27,Razgovarali smo sa svećenikom i otišli smo u škole da govorimo o čistoći djeci u školi.
0:08:35,0:08:50,"Putovao sam sa Heywood Robinson, putovao je u Ugandu sa gospodinom koji je porijeklom iz Afrike."
0:08:59,0:09:19,U Africi u većini država sedamdeset do osamdeset posto ljudi su zapravo za život pro life a znamo da je siromaštvo veliki problem da puno ljudi živi na niskoj ispod granice siromaštva.
0:09:24,0:09:31,Ali su mnogi ljudi jako strastveno zainteresirani za život i za pro-life akciju.
0:09:38,0:09:42,Trenutno imamo trideset molitvenih kampanja u Ugandi.
0:09:51,0:09:58,To je jako uzbudljivo jer tek smo počeli u Ugandi i želimo puno više molitvenih kampanja da bude i da to krene još jače.
0:10:14,0:10:43,"Zapravo to je problematična stvar jer jako malo pro-life organizacija je uopće otišlo u Afriku, a jako puno organizacija za abortus šalju velika sred, radnika je malo, pa molite da pošalje gospodin radnike u žetvu u Afriku."
0:10:49,0:10:54,"Ovaj pastor je iz Južne Koreje, njegovo ime."
