Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:08,0:00:09,Dobar dan svima.
0:00:10,0:00:13,Posebno mi je zadovoljstvo htjela se pozdraviti.
0:00:14,0:00:24,"Danas imamo jednu posebnu priliku, imamo gosta predavača na jednu vrlo interesantnu temu koja je vezana uz monetarnu politiku."
0:00:25,0:00:27,Vjerojatno se pitate zašto monetarna politika.
0:00:28,0:00:32,Monetarna politika dotiče svakog od nas i našeg svakodnevnog životu.
0:00:32,0:00:40,Zato što onoga što se događa u monetarnoj politici teško da bi mogli mi kvalitetno i dobro živjeti.
0:00:41,0:00:59,"Sigurno su i druge teme danas aktualne u Hrvatskoj, fiskalna politika, porezna politika, politike vezane za visoko obrazovanje i kako god, djele važnu, međutim o nekakvoj monetarnoj politici je puno manje pričano, puno manje u javnosti prisutno kao neka misterija."
0:00:59,0:01:05,I doista vi puno čujete od naših izvanrednih nastavnika o monetarnoj politici.
0:01:06,0:01:32,"Međutim čuti iskustvo od glavne osobe koja je zapravo zadužena i prati i vodi Odbor dati vod i odgovorna za monetarnu politiku ako smijem tako reći, guvernera haenbea Mislim da je posebno zadovoljstvo i čast da ga mogu uposlijediti da vi kao studenti čujete što nam on može reći, koja su to obilježja i koji su to izazovi s kojima se današnja monetarna politika Hrvatske susreće."
0:01:32,0:01:36,"Pa evo predstavljam našega gosta danas, gosta predavača, dr."
0:01:36,0:01:44,"Borisa Vučića koji će nam govoriti, na koji će nam govoriti izdržati predavanje na temu izazovi i obilježja monetarne politike Hrvatske."
0:01:46,0:01:50,"Nakon toga će naš prodi tajnik za nastavu, dr."
0:01:51,0:01:56,"Mejer Zidaković, povesti diskusiju i budući su govorili dr."
0:01:56,0:01:57,Ujčiću.
0:01:57,0:01:59,Molim da pljesnom pozdravim vas.
0:02:12,0:02:14,"Dobar dan, hvala puno na pozivu."
0:02:15,0:02:25,"Na petku sam ovdje, drago mi je biti tu pred studentima, ja sam navikao predavati studentima pa mi je drago da i ovdje imam priliku to napraviti."
0:02:26,0:02:54,"Ono što sam danas zamislio je da vas uvedem prvo u temu monetarne politike na recimo profesorski način da pogledamo koja su obilježja monetarne politike, koje su posebne karakteristike Hrvatske, znači okruženje u kojem se vodi monetarna politika u Hrvatskoj, a onda da više nešto kažemo o samoj monetarnoj politici i izazovu za monetarnu politiku."
0:02:56,0:03:06,"Prvo pitanje koje se postavlja često u zadnje vrijeme, a završit ćemo opet s njime, počet ćemo i završit ćemo s njime i što mogu središnje banke činiti."
0:03:07,0:03:38,"Danas se često govori o tome da su središnje banke only game in town ili jedini cirkus u gradu, kako god hoćete da više-manje su ostale politike prilično impotentne i da se svodi sve na ono što od početka krize, nekako dvije tisuće devet na ono što čine središnje banke očekivanja od središnjih banaka su danas postala znatno veća nego što su to bila prije krize."
0:03:38,0:03:44,Prije krize je bilo prilično to jednostavno postavljeno.
0:03:45,0:03:49,Temeljni cilj središnjih banaka je održavanje stabilnosti cijena.
0:03:51,0:03:53,Zašto održavanje stabilnosti cijena?
0:03:53,0:04:08,"Zbog toga što se pokazalo u prošlosti da nestabilnost cijena, visoka stopa inflacije, hiperinflacija je vrlo štetna za gospodarstvo i da stvaraju visoke troškove."
0:04:08,0:04:12,Zbog toga su te fondove banke potrebne da održavaju stabilnost cijena.
0:04:12,0:04:30,"U nekim slučajevima centralne banke imaju i ulogu supervizora, u nekim zemljama nemaju ulogu supervizora, u onima koji imaju ulogu supervizora je posebno naravno bila i uloga održavanja stabilnosti bankovnog sustava."
0:04:30,0:04:52,"Većina zemalja ima superviziju odnosno nadzor bankovnog sustava unutar središnje banke, neki čak imaju unutar središnje banke i nadzor cjelokupnog financijskog sustava, međutim većinom je to samo bankarski sustav, kao i u Hrvatskoj postoji posebna agencija koja nadzire ostatak financijskog sustava."
0:04:53,0:05:28,Ono što je eksplicitno dodano kao cilj središnjih banaka nakon krize dvije tisuće osamdevet godine nakon početka velike financijske krize kako se danas naziva je financijska stabilnost zašto zato što se pokazalo da stabilnost cijena sama kao takva nije bila dovoljna da spriječi financijsku krizu znači imali smo situaciju stabilnosti cijena znači te banke su ispredpunjavala temeljem znači mi smo po drugoj strani imali financijsku krizu.
0:05:30,0:05:42,Tada je rečeno da se u mandate središnjih banaka eksplicitno treba uključiti kao drugi temeljni cilj održavanje financijske stabilnosti.
0:05:43,0:06:28,"Mi smo u Hrvatskoj tu financijsku stabilnost održali, međutim ako pogledate recimo većinu zemalja EU imale su neku vrstu financijske krize, znači imale su situaciju gdje je značajan dio bankovnog sustava došao u probleme i to je naravno opet rezultiralo visokim društvenim troškovima na način da su te banke morale biti sa javnim novcima pomagane, bail, kako se kaže bail out na hrvatskoj, spašavane, dakle sa novcima poreznih obveznika i danas su sve."
0:06:29,0:06:37,centralne banke u EU u svoj mandat unijele kao isključivi cilj i ostvarivanje financijske stabilnosti.
0:06:37,0:06:56,"U nekim drugim kulturama, prvenstveno američkoj, kao dodatni cilj središnjih banaka postoji i podizanje zaposlenosti, znači zaposlenost kao dodatna, dodatni cilj središnje banke."
0:06:57,0:07:15,"U Europi on postoji, ali postoji kao sekundarni cilj, tako vam recimo u Zakonu o haenbeu kaže da je primarni cilj održavanje stabilnosti cijena, financijske stabilnosti rada, a ukoliko ne kompromitira temeljni cilj, onda podržavanje gospodarske osnovne aktivnosti."
0:07:18,0:07:30,Ono što su centralne banke napravile nakon početka krize je da su sve praktički centralne banke počele voditi vrlo eksplozivnu monetarnu politiku.
0:07:30,0:07:33,To je nekakva takozvana kontraciklička reakcija.
0:07:34,0:07:48,"Drugim riječima kada je gospodarski ciklus krenuo prema dolje, kada smo se našli u recesiji, onda su središnje banke počele voditi eksplozivnu monetarnu politiku, tiskati više novca na razno razne načine."
0:07:51,0:08:02,Ono što se pokazalo nakon šest godina takve politike je da su dosljedice takve monetarne politike vrlo ograničene.
0:08:02,0:08:28,"Znači imamo šest godina takve politike s time da je rast i dalje prilično slab, pogotovo u Europi, Sjedinjene američke države se brže oporavljaju, međutim jučer sam baš imao jedno predavanje na kojem pokazujem da se Sjedinjene američke države oporavljaju bolje zbog toga što su strukturno bolja ekonomija od Europe, a ne zbog značajne razlike u monetarnoj politici."
0:08:31,0:08:56,"Ono što danas svi ja bi rekao polako shvaćaju je da ovakva ekspanzivna monetarna politika koju vodimo kao središnje banke ne može potrajati neograničeno dugo zato što isto tako stvara financijske rizike i to prvenstveno rizike i za ovoj drugoj cilj, a to je financijska situacija."
