Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,Što kažem kad kažem dubok rad na sebi?
0:00:02,0:00:14,Ti stvarno možeš bez previše svojih projekcija i bez previše svojih tema i svojih emocionalnih triggera razumjeti što je za tu osobu dobro.
0:00:14,0:00:29,"I da može svojom prisutnošću dubokom i svojom, ja bih to nazvala nekakvom onom univerzalnom ljubavlju prema drugom čovjeku, drugoj osobi, podržati da se dogodi ono što se treba dogoditi za tu osobu."
0:00:29,0:00:30,Ne treba se bojati emocije.
0:00:30,0:00:38,Znači jako puno teških stvari si napravimo samo želeći izbjeći neugodnostne emocije u životu.
0:00:38,0:00:41,"Emocije su važne, vrijedne, one su kompas."
0:00:42,0:00:45,"Ako se znamo s njima nositi, one mogu jako dobri saveznici biti."
0:00:45,0:00:52,"I sad ako ti treniraš suočavanje i prihvaćanje vlastitih emocija, možeš biti master ono u svom životu."
0:00:54,0:00:55,Pozdrav svima.
0:00:56,0:00:59,Evo nas u još jednom rudnom podkastu.
0:01:00,0:01:02,Nalazimo se na 14.
0:01:02,0:01:07,katu Sky Office u prostorijama biznis kluba 5.
0:01:08,0:01:13,"Ja sam Vinko, a tebi se sprema još jedna poslasnica."
0:01:15,0:01:35,"Evo ako lijepo se nasmijala preko puta mene osoba koju izuzetno cijenim, koja je jako bitan dio mog života u zadnjih par godina, od kad sam se preselio u Zagreb, pa mogu reći i moja prijateljica Martina Detelić."
0:01:36,0:01:37,Martina Bog.
0:01:38,0:01:41,Bog i hvala ti na ovim prekrasnim riječima.
0:01:43,0:01:43,Hvala tebi.
0:01:45,0:02:22,"Mislim da samo ja i ti znamo zašto sam ovo rekao i koliko si ti meni u životu pomogla, ali prije nego što dođemo do tog dijela, sad to ostani gledati i pratiti, prije nego što dođemo do tog dijela, ja bi te zamolio kao loš novinar, ja kao loš novinar pošto u zadnjih nekoliko epizoda izbjegavam predstaviti ljude koji su mi gosti pa im nekako onako ljeno dam tu čast da sami sebe predstave pa bi mogla ljudima reći nešto o sebi."
0:02:23,0:02:24,"Naravno, jeli."
0:02:24,0:02:38,"Ali ti znaš inače kada govorimo o predstavljanju, javnom nastupu, prezentiranju da je upravo to najteži dio koji kažeš osobi i hvala ti je li na tom izazovu odmah u startu."
0:02:40,0:02:46,"S obzirom da ćemo vjerojatno pričati dublje o svemu tome što radim, ja ću se vrlo kratko predstaviti."
0:02:47,0:02:56,"Ljudi znaju otprilike neki moj background čime se bavim, a onda ćemo detaljnije kasnije."
0:02:57,0:03:13,"Znači, coach, mentor, individualni i grupni, a kad smo kod treninga, dakle fokus su komunikacijske, prezentacijske vještine, javni i medijski nastup."
0:03:17,0:04:14,"I to je neka tamo druga karijera, jer prva karijera je bila televizijska, kao što znaš, gdje sam provela nekoliko godina u novinarstvu, informativi, u poslovnom novinarstvu, radila kao novinarka i voditeljica i urednica vijesti i onda shvatila ustvari da je moj poziv nešto drugo odnosno vratila se više kao back to basics što se kaže više sebi i tada je počela ta moja ljubav prema coachingu, razvoju i vlastitom i razvoju drugih osoba, timova itede Ja pretpostavljam da kada sam se prvi put susreo sa pojmom coaching, pretpostavljam da sam imao sličan stav kao VK kao velika većina ljudi."
0:04:16,0:04:57,"Ne znam jer nisam si dao možda dovoljno truda da istražim dublje odakle dolazi ta averzija možda prema tom terminu ili prema možda nekom dužem terminu kao life coaching ali osjećam da je to još uvijek tako na našim prostorima, nisam siguran kakva je situacija možda na zapadu skroz tamo preko barem u Americi, mislim malo manje, ali Ali, hajde da probamo onda zajedno nekako ljudima objasniti šta je to coaching, šta je to life coaching, šta je to biznis coaching."
0:04:58,0:05:15,"Ja sam recimo, evo za publiku, za tebe koji slušaš, znači ja sam zapravo bio, kako bi to rekao, coachi, jel tako?"
0:05:16,0:05:17,Ja sam bio tvoj klijent.
0:05:18,0:05:20,Engleski izraz naravno jer nema pravog prijevoda.
0:05:20,0:05:21,Tako je.
0:05:21,0:05:27,"I sad mislim, ja sam razmišljao o nekakvom poslovnom coachingu jel tako."
0:05:27,0:05:32,"Ja sam sebi postavio nekakve ciljeve, pa jedan od tih ciljeva je bio ovaj podcast i sve što radim sada."
0:05:36,0:05:46,"I ovaj podcast i to je jedan od razloga zašto sam ja tražio bio takvu vrstu podrške ili pomoći, ne znam kako bi to nazvao."
0:05:48,0:05:53,I kroz igru okolnosti nekako sam došao do tebe jel tako.
