Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,Ja kuda sjedim preko puta političara.
0:00:03,0:00:04,"Čekaj ti mene, zar ne?"
0:00:04,0:00:05,"Znaš, političara."
0:00:05,0:00:06,Zašto političara?
0:00:06,0:00:07,Koja je funkcija ega?
0:00:08,0:00:09,Koja je funkcija ega?
0:00:09,0:00:11,"Sad ti mene pitaš, koda smo na testu."
0:00:12,0:00:12,Ne.
0:00:13,0:00:13,Ne.
0:00:13,0:00:14,Tebe će boljeti.
0:00:15,0:00:15,Evo je.
0:00:16,0:00:18,Šta ti zapisuješ cijelo vrijeme?
0:00:21,0:00:22,"Nam šalam, Baktir."
0:00:22,0:00:23,Vidimo.
0:00:24,0:00:24,"Ajde, ajde."
0:00:26,0:00:29,Sad sam skužio da si bila dobar izbor za to.
0:00:29,0:00:31,"Da, ovo je, mislim, trenutak istine."
0:00:31,0:00:32,"Ja sam mislio, to gluma, ali to je."
0:00:33,0:00:34,"Brava, jasno."
0:00:34,0:00:35,Ne znači da si samo neko političar.
0:00:36,0:00:36,"Čuo sam, ne."
0:00:36,0:00:39,"Ne, sad sami su u suprem."
0:00:40,0:00:40,Sad sami u suprem.
0:00:41,0:00:41,Dugo mi je bilo.
0:00:41,0:00:44,"Dame i gospodo, nije rekao nešto tako poražavajuće."
0:00:44,0:00:44,Ko je tebi usudio?
0:00:46,0:00:47,Ko je tebi usudio?
0:00:47,0:00:49,"Ona je rekla da možeš šutiti, majkete."
0:00:51,0:00:52,"Ajmo, vidimo se."
0:00:54,0:00:55,Kako se to radi.
0:00:55,0:00:56,"E, reži."
0:00:57,0:01:00,Dobrodošli u još jednu epizodu od Potkesta.
0:01:01,0:01:02,Danas će biti vrlo kratak.
0:01:03,0:01:04,Sa mnom je jasna.
0:01:06,0:01:06,"Jasna, Bog."
0:01:07,0:01:07,Bog.
0:01:08,0:01:08,Kako si?
0:01:09,0:01:10,"Dobro, nisam loša."
0:01:11,0:01:13,"Lijep je pogled, pa je odmah se i ja osjećam."
0:01:13,0:01:13,dobro.
0:01:14,0:01:15,Zašto lud?
0:01:15,0:01:17,Nisam to stigla zugoglati.
0:01:19,0:01:19,Zašto lud?
0:01:20,0:01:20,Aha.
0:01:21,0:01:22,Pa dvojako je značenje.
0:01:22,0:01:23,Šta znači lud?
0:01:25,0:01:27,"Ajde, krenit ću prvo sa hrvatskim značenjem."
0:01:27,0:01:28,Ajde.
0:01:29,0:01:43,"Vjerujem da ako želiš ostvariti u životu nešto što je izvan okvira nekakve uobičajene paradigme, mislim da te ljudi mogu smatrati ludim."
0:01:45,0:01:47,To je jedan od razloga.
0:01:49,0:02:01,"Drugi razlog je što sam na početku pomislio da ću raditi potpis na engleskom jeziku, pa je akronim LUD zapravo Life ili Lifestyle of Our Dreams."
