Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:04,Dobrodošli u Launched.
0:00:04,0:00:23,"Ja sam Charlie Chapman i danas sam uzbuđen što vam predstavljam tvorca aplikacije za skijanje i snowboarding Slopes, Curtisa Herberta."
0:00:24,0:00:29,"Curtis, mislim da bih trebao započeti emisiju pitajući te, imaš li hlače na sebi?"
0:00:29,0:00:33,"Danas ih imam, ali to je samo zato što sam se upravo vratio od veterinara."
0:00:33,0:00:39,"A ako želiš izaći u javnosti, barem u Philadelphiji, ne znam kako je to tamo gdje živiš živite, ali hlače su potrebne."
0:00:40,0:00:43,"Dakle, znate, stvarne interakcije moraju obući hlače."
0:00:43,0:00:45,"Da, ovdje na Srednjem zapadu ovisi o tome gdje kupujete."
0:00:45,0:00:49,"Ako idem u lokalnu trgovinu, da, hlače."
0:00:49,0:00:51,"Walmart, hlače su neobavezne."
0:00:51,0:00:52,"O, vrlo lijepo."
0:00:52,0:00:54,Moram se preseliti tamo.
0:00:54,0:00:55,Kakve su vaše planine?
0:00:56,0:00:57,Pitanje za nastavak.
0:00:57,0:01:04,"Pa, imamo jednu od onih lažnih planina jer imamo Ozark Hills, ako ste ikad čuli za to."
0:01:05,0:01:10,"Dakle, imamo neke velike brda, a ako je dovoljno hladno, možemo prskati lažnim snijegom."
0:01:10,0:01:13,I tako imamo mali skijaški odmor.
0:01:13,0:01:16,"Resort nije baš pravi izraz, ali mjesto."
0:01:17,0:01:18,Skijaški park.
0:01:18,0:01:20,"Da, iskreno, to je najbolji naziv za to."
0:01:21,0:01:21,U redu.
0:01:22,0:01:22,"Dakle, to je ne."
0:01:24,0:01:24,Mogu ostati ovdje.
0:01:25,0:01:26,Živjet ću s hlačama.
0:01:26,0:01:30,"Da, to je malo vožnje u svim smjerovima do najbliže prave planine."
0:01:30,0:01:31,U redu.
0:01:32,0:01:37,"Dakle, ovdje u emisiji volim započeti s malom pitanjem publike."
0:01:37,0:01:42,"I tako, danas Daryl pita, preferirate li Face ID ili Touch ID?"
0:01:42,0:01:48,"Ooh, definitivno Face ID, osim posljednjeg mjeseca ili tako."
0:01:48,0:01:49,"Da, nedostaje Touchouch ID."
0:01:52,0:02:00,"Ali kao skijaš i snowboarder, imam pristranost da kad smo vani, želimo nositi rukavice što je više moguće."
0:02:00,0:02:02,"Dakle, Touch ID je definitivno bio neugodan."
0:02:02,0:02:09,"Face ID, da, naočale mogu ponekad stati na put, ali uspio sam ga dobro obaviti s alternativnim lica."
0:02:10,0:02:14,"Da, trenirat ću sekundarno lice s njim i većinu vremena radi."
0:02:14,0:02:16,"Dakle, to je bilo praktičnije nego što je bio Touch ID."
0:02:17,0:02:19,Mislim da je slično naočalama.
0:02:19,0:02:24,"Da, sve ovisi o objektivu koji imam i koliko IR blokira."
0:02:24,0:02:25,"Oh, zanimljivo."
0:02:25,0:02:27,"U redu, to ima smisla jer koristi IR."
0:02:27,0:02:28,Ne koristi.
0:02:28,0:02:28,U redu.
0:02:28,0:02:32,"Dakle, čak i ako je reflektirajući, sve dok IR može ući."
0:02:32,0:02:32,U redu.
