Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:03,Kroz akumulaciju iskustva puno odluka se može donositi instinktom.
0:00:03,0:00:11,"Apsolutno kroz ovo što radimo dobivamo te jedne socijalne vještine, upravo to čitanje situacije, čitanje prilike ali pogotovo čitanje ljudi."
0:00:11,0:00:39,"Njih sto pedeset je došlo na taj mali drveni brod ako su oni mogli doći do američke ako je vas tko odegao mogao doći do indije mageljano ploviti svijet na barkama bez ničega dvije tisuće petnaest godine kad smo startali kad smo imali ideju što želimo napraviti sa ovime što radimo bilo je bitno ime i onda kako ćemo nazvati platformu odnosno sada samo aplikaciju za slanje novca, digitalno, preko zraka."
0:00:39,0:00:44,"Znači novac ide preko zraka, ajmo to staviti na engleski."
0:00:44,0:00:44,Zašto?
0:00:44,0:00:52,"Engleski zvuči ono globalno, zvuči internacionalno, zvuči bitno da nešto zvuči ajmo reći američki, ono Coca-Cola, ono."
0:00:53,0:00:55,"I onda je bila Nike, jednostavno zvuči."
0:00:55,0:00:57,"I onda zrak, cash, air cash."
0:00:58,0:01:02,"I onda, ok, nema šanse da je to slobodno."
0:01:02,0:01:16,"I onda, kad sam, ono kad je to na neki način mi palo na pamet, ono hodao sam po Sljemenu, ono svjež rak, gore to mi je palo na pamet i odmah sam zvao kolegu, ajmo te vidjeti je li to slobodno, je li taj brand slobodan?"
0:01:16,0:01:29,"I već smo znali, imali smo mi iskustva i poslovnog iza sebe i onda smo provjerili Državni zavod za intelektualno vlasništvo koje je već i tada Hrvatska bila u EU, da li je brand slobodan?"
0:01:29,0:01:31,I bio je za cijelo područje EU.
0:01:31,0:01:34,"I onda smo ga zaštitili u EU, u zemljama."
0:01:35,0:01:41,"To je točka komi, ne, ne, ne, mi smo zaštitili žig, trademark, sami naziv je bio."
