Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:10,"Dobrodošli na podcast SubClub, emisiju posvećenu najboljim praksama za izgradnju i rast aplikacijskih tvrtki."
0:00:10,0:00:20,"Sjednemo s poduzetnicima, investitorima i graditeljima koji stoje iza najuspješnijih aplikacija na svijetu kako bismo naučili iz njihovih uspjeha i neuspjeha."
0:00:20,0:00:22,SubClub vam donosi RevenueCat.
0:00:23,0:00:33,"Tisuće najboljih aplikacija na svijetu vjeruju RevenueCatu da omogući kupnju aplikacija, upravljanje kupcima i povećanje prihoda na iOS-u, Androidu i webu."
0:00:34,0:00:43,"Više informacija možete pronaći na revenuecat dot com dot Uđimo u emisiju Pozdrav, ja sam vaš voditelj David Bernard."
0:00:44,0:00:54,"Moji su današnji gosti Lucy Levy, glavna potrošačka službenica, i Nicole Page, viša voditeljica proizvoda u Zumbi, najvećoj brendiranoj fitness tvrtki na svijetu."
0:00:55,0:01:03,Na podcastu razgovaram s Lucy i Nicole o tome kako je klijentska iteracija dovela Zumbu od VHS kaseta 2001.
0:01:03,0:01:06,godine do pokretanja aplikacije 2024.
0:01:06,0:01:07,godine.
0:01:07,0:01:10,Njihovi su eksperimenti s aplikacijom na web koji su povećali LTV za sedamnaest posto.
0:01:10,0:01:18,I kako mogu naplaćivati sadržaj kad su bezbrojne Zumba tečajeve dostupne besplatno na YouTubeu.
0:01:19,0:01:22,"Hej, Lucy, hvala ti što si se danas priključila podcastu."
0:01:23,0:01:24,Hvala ti što si nas pozvala.
0:01:24,0:01:26,"A Nicole, lijepo je i ti."
0:01:26,0:01:30,Uvijek je zabavno imati dvoje ljudi iz istog poduzeća s različitim gledišta.
0:01:30,0:01:31,"Hvala ti, Davide."
0:01:31,0:01:33,Nisam se mogla dočekati razgovor.
0:01:34,0:01:37,Želim započeti priču o Zumbi.
0:01:37,0:01:42,"I ne uvijek se uronimo u priču o aplikacijama, ali Zumba je zaista zanimljiv."
0:01:42,0:01:46,"Znaš, postoji dvadeset četiri godine i ima mnogo različitih načina."
0:01:46,0:01:49,I postao je sinonim za fitness koji se temelji na plesu.
0:01:50,0:01:58,To je svojevrsni Kleenex fitnessa u smislu da mnogi ljudi samo kažu Zumba kako bi se odnosili na bilo kakav fitness koji se temelji na plesu.
0:01:59,0:02:01,I to je izvanredan uspjeh kao tvrtka.
0:02:02,0:02:07,"I znate, aplikacija, kao što ćemo doći do nje, vrlo je nova za priču brenda Zumba."
0:02:08,0:02:13,Ali vratimo se sve do osnivanja aplikacije Zumba.
0:02:14,0:02:21,"I mislim da će biti posebno zanimljiva za ljude poput neovisnog programera koji traži sljedeću novu aplikaciju za izradu ili, znate, nekoga s većom tvrtkom."
0:02:21,0:02:27,"Znate, netko u većoj aplikacijskoj tvrtki razmišlja o usklađivanju s drugim proizvodima na tržištu ili čak netko u velikoj aplikacijskoj tvrtki koji gradi stranski projekt."
0:02:27,0:02:38,"Mislim da postoji mnogo stvari u priči o Zumbi o tome kako razmišljati o tome kakav proizvod treba izgraditi, osjećate li taj tip privlačnosti proizvoda na tržištu i slično."
0:02:38,0:02:43,"Dakle, Lucy, reci nam priču o tome kako je Zumba osnovana prije dvadeset četiri godine."
0:02:44,0:02:45,"Da, da."
0:02:45,0:02:49,Sretan sam što mogu podijeliti priču i da sam veliki obožavatelj podcasta.
0:02:49,0:02:51,"Dakle, još jednom hvala što ste nas pozvali."
0:02:51,0:02:56,"Smiješno je što kažeš da je Zumba i klinike, taj primjer savršeno prikladan."
0:02:56,0:03:03,"Vrlo često se događa da ljudi misle da smo disciplina fitnessa ili kategorija fitnessa, a ne nužno privatna marka."
0:03:03,0:03:04,Ali reći ću vam malo o priči.
0:03:05,0:03:09,"Zumba postoji već dvadeset četiri godine, što je u svijetu fitnessa neuobičajeno."
0:03:10,0:03:16,"I mnogi ljudi nisu imali dovoljno vjere da ćemo preživjeti toliko godina, ali ima puno toga i puno moći u zajednici."
0:03:17,0:03:20,Zumba je započela i to je smiješna priča.
0:03:20,0:03:25,"To su tri Alberta, isto ime, različiti pozadinski obilježja, ali trojica su Kolumbijci."
0:03:26,0:03:28,"Dakle, velika je slučajnost na tom području."
0:03:28,0:03:44,"Zapravo je započela s Alberto Perman, naš sadašnji direktor i jedan od suzakonodavaca koji je izgubio posao, pokrenuo je internetski posao prije dvadeset četiri, dvadeset pet godina koji je očito puknuo internetom kad je pukla internetska mjehurić."
0:03:44,0:03:49,"I bio je bez posla, izvan puta, nije znao što da radi."
0:03:49,0:03:55,"Večerao je kod svoje mame, a mama mu je rekla: Zašto ne dođeš dolje i ne upoznaš mog instruktora za fitness?"
0:03:55,0:03:57,On predaje nevjerojatan tečaj koji svi žele pohađati.
