Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:10,"Dobrodošli na podcast SubClub, emisiju posvećenu najboljim praksama za izgradnju i rast aplikacijskih tvrtki."
0:00:10,0:00:20,"Sjednemo s poduzetnicima, investitorima i graditeljima koji stoje iza najuspješnijih aplikacija na svijetu kako bismo naučili iz njihovih uspjeha i neuspjeha."
0:00:20,0:00:22,SubClub vam donosi RevenueCat.
0:00:23,0:00:33,"Tisuće najboljih aplikacija na svijetu vjeruju RevenueCatu da omogući kupnju aplikacija, upravljanje klijentima i povećanje prihoda na iOS-u, Androidu i webu."
0:00:34,0:00:36,Više informacija možete pronaći na revenuecat.com.
0:00:37,0:00:38,Uđimo u emisiju.
0:00:39,0:00:41,"Pozdrav, Vegas."
0:00:42,0:00:43,Dobro jutro.
0:00:43,0:00:46,Drago mi je vidjeti vaše prekrasne lica tako rano u Vegasu.
0:00:46,0:00:49,Nadam se da niste prošle noći pili prekasno.
0:00:50,0:00:54,"Ovo je uživo snimanje, prva stanka na Subclub Podcast World Touru."
0:00:54,0:00:59,"Dakle, kasnije ove godine bit ćemo u Londonu, New Yorku, San Franciscu i Berlinu."
0:01:00,0:01:06,"Dakle, ako niste čuli za podcast Subclub, svakih dva tjedna razgovaram s stručnjacima iz industrije poput Ramita na podcastu."
0:01:06,0:01:08,I tako se veselim ovoj razgovoru danas.
0:01:08,0:01:14,Mislim da možemo naučiti mnogo od jednog od vođa nekih od najvećih aplikacija u trgovinama aplikacijama.
0:01:14,0:01:15,"Dakle, moj gost je Ramit."
0:01:16,0:01:21,On je voditelj projekta za monetizaciju u Microsoft pokriva Office 365 i Copilot.
0:01:21,0:01:23,"Da, hvala što ste se danas priključili podcastu."
0:01:24,0:01:24,Hvala vam.
0:01:24,0:01:25,Hvala vam puno.
0:01:25,0:01:33,"Dakle, da, zapravo sam voditelj rasta za Microsoft 365 aplikacije za macOS i podržavam rast za mobilne aplikacije."
0:01:33,0:01:42,"Dakle, u osnovi, osnovne aplikacije su Word, Excel, PowerPoint, a također podržavam i Copilot aplikaciju i Microsoft 365 aplikaciju."
0:01:42,0:01:44,"Dakle, da, sve su to velike aplikacije."
0:01:45,0:01:47,"Dakle, da, uzbuđen sam što ću o njima govoriti."
0:01:47,0:01:52,I sve su mi mi mišljenja i ne predstavljaju službeni stav Microsofta.
0:01:53,0:01:54,Trebam to reći.
0:01:56,0:01:57,"Dakle, naravno, naravno."
0:01:57,0:02:15,Jedna od stvari koja me zaista zapanjila u našim ranim razgovorima kad smo vi i ja prvi put počeli razgovarati o tome da je Microsoft poput startupa u startupu u najvećoj tvrtki na svijetu.
0:02:15,0:02:22,"Uvijek sam mislio da je Microsoft poduzeće i da ljudi idu na web da preuzmu Word, a to je aplikacija koja je izvorna za Mac."
0:02:23,0:02:26,Uvijek sam mislio da su aplikacije gotovo nešto što sam pomislio poslije.
0:02:27,0:02:34,"Ali što više smo razgovarali, to je kao da je Microsoft vrlo ozbiljan u stvaranju fantastičnih aplikacija i monetizaciji u trgovinama aplikacijama."
0:02:34,0:02:34,Da.
0:02:34,0:02:36,"Dakle, recite mi malo o tom pristupu."
0:02:37,0:02:42,i kako razmišljate o rastu posla s aplikacijama u najvećoj tvrtki na svijetu?
0:02:42,0:02:42,Da.
0:02:43,0:02:45,"U, recimo, doba 2013."
0:02:45,0:02:46,i 2014.
0:02:46,0:02:50,"godine, ove su aplikacije počele kao pratiteljske aplikacije za stolne računala."
0:02:50,0:02:59,"Dakle, uvijek postoji koncept produktivnosti klase stolnih računala, što znači da imate zaslon koji je, recimo, iPad ili stolni računalo i tamo se radi."
0:02:59,0:03:03,A onda postoji produktivnost mobilnih uređaja gdje imate lagane uređaje.
0:03:03,0:03:08,A onda s vremenom počinjemo primjećivati da je mobilni uređaj primarni uređaj za mnoge klijente.
0:03:09,0:03:15,"I to je više istinito u Aziji i drugim regijama nego u SAD-u, ali mobilni uređaj je primarni uređaj, a ne zajednički uređaj."
0:03:15,0:03:22,"Dakle, ljudi imaju, recimo, u jednoj obitelji, bilo bi ih dvije, svi imaju telefon i možda će imati i jedan prijenosni računalo."
0:03:22,0:03:30,"Tako smo počeli primjećivati da ljudi rade vrlo dugačke dokumente, ponekad do pedeset stranica dokumenata s mobitela."
0:03:30,0:03:32,Tada smo počeli ozbiljno shvaćati ovo.
0:03:32,0:03:53,"A onda je drugi trend koji smo primijetili bio taj da, budući da App Store ima vrlo, vrlo bezbrižno iskustvo kupnje pretplate, počeli smo primjećivati da Microsoft 365 pretplata, posebno u potrošačkim, poput naših osobnih i obiteljskih pretplata, a sada i Copilot Pro, nastavlja primjećivati taj trend da ljudi žele samo kupiti s telefona."
