Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:10,"Dobrodošli u podcast SubClub, emisiju posvećenu najboljim praksama za izgradnju i rast aplikacijskih tvrtki."
0:00:10,0:00:20,"Sjednemo s poduzetnicima, investitorima i graditeljima koji stoje iza najuspješnijih aplikacija na svijetu kako bismo naučili iz njihovih uspjeha i neuspjeha."
0:00:20,0:00:22,SubClub vam donosi RevenueCat.
0:00:23,0:00:33,"Tisuće najboljih aplikacija na svijetu vjeruju RevenueCatu da omogući kupnju aplikacija, upravljanje klijentima i povećanje prihoda na iOS-u, Androidu i webu."
0:00:34,0:00:36,Više informacija možete pronaći na revenuecat.com.
0:00:37,0:00:38,Uđimo u emisiju.
0:00:39,0:00:46,"Pozdrav, ja sam vaš domaćin David Bernard i danas sam s vama, izvršni direktor RevenueCat Jacob Biding."
0:00:46,0:00:51,"Naš današnji gost je Chris Holes, osnivač i izvršni direktor Life 360."
0:00:52,0:01:09,"Na podcastu razgovaramo s Chrisom o tome kako ispravno izraditi besplatni pristup, izraditi zakon o pravima kupaca koji će voditi u donošenju odluka o proizvodima i zašto slijepo slijediti rezultate testiranja AB-a može dovesti do kratkoročnih dobitaka, ali dugoročno oslabiti vaš posao."
0:01:09,0:01:12,"Hej, Chrisu, hvala ti što si se danas priključio našem podcastu."
0:01:12,0:01:13,Hvala što si me primio.
0:01:13,0:01:15,"A Jacob, uvijek je lijepo da si danas sa mnom."
0:01:16,0:01:18,Jako sam uzbuđen što ću razgovarati s osnivačem Life 360.
0:01:18,0:01:24,"Bio sam na zabavi, velikonočnoj zabavi u nedjelju i doslovno sam vidio nekoga tko koristi Life 360 i pomislio sam, evo Life 360."
0:01:24,0:01:25,I evo nas ovdje.
0:01:25,0:01:25,Bila je to mama?
0:01:26,0:01:29,"Bila je to mlada osoba, možda dvadeset i jedna godina."
0:01:29,0:01:31,"I pomislio sam, to se i dalje događa."
0:01:32,0:01:33,To se događa sve češće.
0:01:33,0:01:34,Nismo se žalili.
0:01:34,0:01:40,"Kao što smo razgovarali prije podcasta, Life 360 je jedna od najmanje poznatih velikana u industriji aplikacija za pretplatu."
0:01:41,0:01:46,"Znate, nije spomenuta u istom duhu kao Strava, Dolingo i neke od njih, ali je nevjerojatna tvrtka."
0:01:47,0:01:58,"I upravo sam provjerio ujutro, na NASDAQ-u i australskom burzi s tržišnom kapitalizacijom od 1,8 milijarde USD-a, ogromna uspješna priča u prostoru aplikacija za pretplatu."
0:01:58,0:02:02,Bili ste na mnogim drugim podcastovima i ispričali cijelu priču.
0:02:02,0:02:03,Slušala sam ih više.
0:02:04,0:02:08,"Ako ljudi žele čuti cijelu priču o osnivanju, možemo staviti poveznice u bilješke emisije."
0:02:08,0:02:16,Ali htjela sam sažeti sve i onda bismo se mogli dublje pozabaviti osnovama izgradnje sjajnog posla s aplikacijama za pretplatu kao što ste vi.
0:02:16,0:02:17,"Dakle, kakva je bila priča o osnivanju?"
0:02:17,0:02:22,"Da, dobit ću vrlo kratku verziju i dotaknuti nekoliko stvari koje su specifičnije za pretplatu."
0:02:22,0:02:27,"Dakle, vrlo brzo, prva je ideja bila kako se Katrina može povezati s obiteljima nakon velikih hitnih slučajeva."
0:02:27,0:02:29,Imala sam tu ideju na fakultetu prije dvadesetak godina.
0:02:30,0:02:31,U tvrtki radim osamnaest godina.
0:02:32,0:02:36,"Imali smo jedinu i jedinu preokretnu točku u ranim danima, što je ono što radimo sada, što je nešto mnogo veće."
0:02:36,0:02:40,"Facebook je postajao popularan za prijatelje, a LinkedIn je postajao popularan za profesionalce."
0:02:40,0:02:42,Mislio sam da ćemo se usredotočiti na obitelji.
0:02:42,0:02:52,"Taj dio našeg pitch-a bio je vrlo klišejski, ali naš je pristup bio drugačiji od svih ostalih, koji se temeljio na našem uvjerenju da će mobilni uređaj postati sveprisutan, što se očito dogodilo, ali zapravo je tada bio kontroverzan."
0:02:52,0:02:54,Ljudi nisu mislili da će tinejdžeri koristiti pametne telefone.
0:02:54,0:02:57,To je bio prvi razlog zbog kojeg su VC-ovi odustali od našeg kruga sjemena.
0:02:57,0:03:08,"Mislim da je to izgledalo kao alat za produktivnost, ali naš je uvid bio da je lokacija bila toliko važna za mnoge komunikacije, a sigurnost je nešto za što bi ljudi platili, ali zapravo je povezana s freemium poslovnim modelima."
0:03:09,0:03:17,Otkrili smo da je dnevna komunikacijska korisnost dobra besplatna platforma za angažiranje u kombinaciji s sigurnošću za koju ljudi plaćaju i to je zapravo naš taja tajna monetizacijska omiljena stvar.
0:03:17,0:03:19,"Ako krenete na bilo koji kraj, možete imati problema."
0:03:19,0:03:27,"Dakle, sada imamo više od osamdeset milijuna aktivnih korisnika, prihod od četiri stotine milijuna, vrlo brzo rastući međunarodni broj zaposlenika."
0:03:28,0:03:29,"Dakle, to je bilo oko 2008."
0:03:29,0:03:29,godine.
0:03:29,0:03:30,Kada je izašla prva aplikacija?
0:03:31,0:03:32,Mislim da je 2008.
0:03:32,0:03:32,godine.
0:03:33,0:03:34,Možda je lansirana 2009.
0:03:34,0:03:34,godine ili nešto slično.
0:03:34,0:03:37,Bili smo aplikacija za pokretanje na Androidu.
0:03:37,0:03:38,U redu.
0:03:38,0:03:44,"Davidova točka da ste poput spavačkog divova, mislite li da je to dio razloga što ste bili poput IOS-a koji ima dobre prijatelje ugrađene."
0:03:45,0:03:48,"A ako ste potpuna obitelj IOS-a, možda ste vi alat po izboru."
0:03:48,0:03:51,"Zapravo, bolje smo na IOS-u u svakoj regiji, iznenađujuće."
0:03:51,0:03:52,Zar stvarno?
0:03:52,0:03:58,"Mislim, možda to nije tako iznenađujuće za mene, ali mislim da je to tehnološka tisk publika, i dalje ima pristranost prema IOS-u, zar ne?"
0:03:58,0:04:02,"Ako to nije Apple, oni imaju tendenciju da propuste stvari."
0:04:02,0:04:03,I uvijek sam se pitao je li to tako.
0:04:03,0:04:10,Mislim da smo primjer toga da smo u kategoriji bez posla s gledišta VC-a.
0:04:10,0:04:20,"Sada kada smo javni, to je drugačija igra, ali mislim da je iz nekog razloga VC samo pretpostavio da naša kategorija nije stvarna i da je to značajka, a ne platforma."
0:04:22,0:04:28,"I još uvijek se ponekad pitam zašto smo, relativno govoreći, tako ispod radara."
0:04:28,0:04:32,"Ne brinem jer gotovo nemamo konkurenciju, što je čudno."
0:04:32,0:04:39,"Da, i ja ne bih previše h govorio o dionicama, ali vi imate jednu od tih rijetkih dionica koja nije izgledala potpuno iscrpljeno tijekom posljednje desetljeće ili pet godina."
0:04:40,0:04:45,"I uvijek imam osjećaj da se previše usredotočuju na tvrtke, kao da se okreću prema kaprici tržišta."
0:04:46,0:04:48,"Da, mislim da smo se okrećemo, ali nikad nismo bili precijenjeni."
0:04:48,0:04:50,"Dakle, to je frustrirajuće."
0:04:50,0:04:55,"Trgovali smo s prihodima od jedan x u vrijeme najveće krize bez dobrih razloga, možda dva x, bilo kakve."
0:04:55,0:05:00,"Ali bilo je čudno, ali ljudi previše zanemaruju tvrtke koje nisu u vrućim vertikalama."
0:05:00,0:05:08,"Mislim da je lokacija sada konačno nešto što ljude ne plaši, ali mislim da ljudi gotovo samo loše roditelje i loše obitelji koriste dijeljenje lokacije."
0:05:09,0:05:10,To je zastrašujuće.
0:05:10,0:05:15,"Mislim da je to bilo više, koncept špijunaže za djecu."
0:05:15,0:05:17,"Ali, da, mislim, mislim, mislim na to."
0:05:17,0:05:20,Imam šestogodišnjaka i kažem joj da ću je razbiti.
0:05:20,0:05:25,"Znati ću gdje je dok ne navrši sedamnaest i tristotinjak šezdeset dana, znate što mislim?"
0:05:25,0:05:27,"Ali zapravo to nije tako invazivno, iskreno."
0:05:28,0:05:32,"Bolje je ako ga ispravno upotrebljavate, možete dati djeci više slobode i ne brinuti se."
0:05:33,0:05:37,Stvarni helikopterski roditelji su oni koji ih prate i ometaju njihove aktivnosti.
0:05:37,0:05:43,Mi samo kažemo da se zabavite i zapravo smo način da djeci damo više slobode ako se ispravno upotrebljava.
0:05:43,0:05:48,"I imamo dovoljno veliku bazu korisnika, neki roditelji pretjeruju i zbog toga se osjećam loše."
0:05:48,0:05:51,Ali vi također postojate na nekom zanimljivom mjestu kao što je RevenueCat.
0:05:51,0:06:05,"I to radi i Cat, što je zato što je FindFriends tvrtke Apple tako vertikalan i nema interoperabilnosti, što stvara priliku za tvrtke poput Life 360 da postanu platforma jer nije vezana uz te telefone, zar ne?"
0:06:05,0:06:09,To je kao da se sada puno govori o antitrustu i tim platformama koje su zaključane.
0:06:09,0:06:14,"Ponekad zaključavanje zapravo stvara prilike za tvrtke da, znate, prevladaju taj zaključavanje, što je vaš slučaj."
0:06:15,0:06:21,"Dobro se osjećam zbog toga za naš dugoročni razvoj, posebno u Europi, ali iznenađujuće, bolje nam ide u tim regijama s velikim brojem IOS-a."
0:06:22,0:06:27,"I zapravo, da se vratim na vašu raniju točku, mislim da većina svijeta nije shvatila dijeljenje lokacije."
0:06:28,0:06:36,"To je mnogo godina iza i mislim da je bilo to bio Find My, iako je Find My pokrenut pet godina nakon što smo izašli, zaista nam je pomogao jer je smanjio stigmu koja je postojala."
0:06:37,0:06:51,"Dakle, od sada zapravo vidimo obrnuto, gdje netko koristi Find My, prebrodio je prepreku da je to stvarna potreba, a onda smo toliko bolji za našu vertikalnu industriju da nam to ne šteti."
0:06:51,0:06:52,To se može promijeniti.
0:06:52,0:06:55,"Ne želimo živjeti, želimo biti osjetljivi i ne piti vlastiti Kool-Aid."
0:06:55,0:06:58,"Apple bi mogao biti bolji, postaju bolji, budi se na lokaciju."
0:06:59,0:07:07,"Ali, da, povijesno gledano, mislim da je zapravo zanimljivo za manje startupe da Apple u vašem prostoru s prosječnim proizvodom može biti dobra stvar."
0:07:07,0:07:09,"Mnogo je lakše reći, Find My je bolji."
0:07:09,0:07:10,"Pronađimo mi bolje, zar ne?"
0:07:10,0:07:13,"Ne mogu zamisliti kako ste vi prije toga govorili, recimo, Ovo je olovka za vašu obitelj."
