Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:23,"Ja bih htio da kroz ova moja iskustva i neke greške koje sam radio kroz posao da donesem neke zaključke koje bi pomogli vama koji tek počinjete raditi ili već lagano radite kako na pravilan način pomoći djeci da od najranijih dana steknu pozitivan odnos prema radu, zdrav odnos prema radu i neke radne navike jer to je po meni vrlo važno."
0:00:24,0:00:36,Pokušat ćemo pokazati koliko je za nas bitan taj duhovni dio u radu i kakav bi taj odnos stvarno trebao biti i pogotovo kroz prizmu duhovnosti te kako u svakodnevni životonijeti ista.
0:00:43,0:00:46,Šta kaže svećenik nakon karizmatskog susreta?
0:00:47,0:00:49,Ako netko želi nešto popiti neka spusti ruke.
0:00:53,0:00:56,"Evo je bio pokušaj razbijanja treme, očito ne uspiješ."
0:00:58,0:01:01,"Kad tu slučajno padnem to je zato što počivamo u duhu, nije zbog treme."
0:01:03,0:01:17,"Evo prije nego što krenem par tehničkih stvari, moj mentor Željko mi je kad sam dolazio rekao da je našoj stanici danas imenaendan pa evo stane sretan timendan, tu je negdje stan."
0:01:20,0:01:25,"Također Movneće, ako stanku je imendan i stanku ako gledaš sretan i tebe imendan."
0:01:27,0:01:30,"Još jedna stvar, nek udar je bijelog šarana pa traži se vlasnik."
0:01:33,0:01:34,Nije nasilje.
0:01:35,0:01:36,"Dobro, šalim se."
0:01:38,0:01:52,"Da se prestanem iz one koji me ne znaju, znači moje ime je Blago Gudelj, imam četrdeset pet godina sretno sam oženjen i supruga i ja imamo petero djece i jednu zagornicu na nebu koju je gospodin uzeo prije nego što se rodila."
0:01:54,0:02:02,Po zanimanju sam diplomirani inženjer građevine i ove godine će biti dvadeset godina kako sam završio fakultet i kako sam počeo raditi.
0:02:03,0:02:10,I praktički cijeli svoj radni vijek od kada sam počeo sam u izvođenju i organizaciji posla odnosno u vođenju ljudi.
0:02:12,0:02:27,Zadnjih osam godina vodim jednu građevinsku firmu i također sam sedam godina radio i u jednom osiguranju kao procjenitelj za imovinske štete tako da sam uz ovaj privatni sektor dobio uvid i kako se radi u javnom sektoru.
0:02:29,0:02:50,"Znači mogu reći da sam u poslu prošao praktički sve od samog početka kao pomoći radniku svoga oca gdje sam stekao neka osnovna, osnovne poglede prema radu i odnos prema radu, rekao bih zdravi odnos prema radu i gdje sam praktički zavolio građevinu i odlučio da bi to trebalo biti ono s čime bi se želio baviti u životu."
0:02:51,0:03:08,"Dalje preko inženjera pa do direktora, vlasnika firme i onda stjecajem okolnosti došlo je do toga da sam praktički radio sve poslove ponovno do razine pomoćnog radnika da bih opet dospio do funkcije direktora i voditelja firme gdje sam sada."
0:03:09,0:03:13,Evo sad čekam da ponovno postanem pomoćni radnik da se malo psihički odvrni.
0:03:15,0:03:24,Znači inženjerski posao u izvođenju i vođenju firme vam je po meni najsloženiji i najzahtjevniji posao i ujedno najzanimljiviji.
0:03:24,0:03:27,"Evo brat, rado ćete to potvrditi ako me ne vjerujete."
0:03:28,0:03:50,"Znači tu se nalazite stvarno između svih, prije svega između radnika i između v naručitelja posla, investitora, arhitekata, kupaca stanova, dobavljača, to je toliko sudionika da vam se zavrti u glavi kad pomislite šta sve morate."
0:03:51,0:04:04,"A kad to uspijete sladati onda stvarno možete puno toga, možete kad uspijete iskoordinirati sve što vas čeka na gradilištu malo je toga što ne možete, skoro da možete i žene razumjeti."
0:04:05,0:04:11,Evo iz ovoga ispada da bih ja trebao moći reći nešto o radu i odnosu prema radu.
0:04:14,0:04:25,također i član sam novorođenih već pet šest godina i tu sam u raznim formacijama gdje me god zovu ja ne znam reći da neću pa evo tako je nekako ispalo da moram vratiti ovu temu.
0:04:27,0:04:30,Kako smo došli do teme i do ideje za predavanje?
